,gene_names,weighted_max,weighted_sum
406,FGL2,0.055677067,-3.265686989
407,DLGAP5,0.055947885,-9.925245285
408,P2RY8,0.066979617,-0.31093064
409,LONRF2,0.067188226,7.379721642
410,VAMP8,0.040156841,-11.55968285
411,AQP9,0.078205504,17.50876999
412,F3,0.056724109,-12.3869772
413,PTPRK,0.049083158,-10.20754623
414,MEST,0.041355908,-16.90979958
415,TWIST1,0.0590216,-10.62762833
416,IL1B,0.058288604,-15.57763672
417,FCGR3A /// FCGR3B,0.068240166,14.55737686
418,TNFAIP3,0.045976948,-11.67169762
419,BST2,0.056915622,-13.30751228
420,HSD17B2,0.046685752,13.4250927
421,NAP1L3,0.049979024,-3.640822887
422,RAB34,0.046253566,-12.43312073
423,PLK2,0.035120632,-14.83149147
424,FGFR3,0.068766139,3.357632637
425,LRRN1,0.046943247,6.264701843
426,KCTD12,0.051656578,-11.48032379
427,GBP3,0.049540818,-10.67308426
428,BICC1,0.052235465,-1.899664521
429,HMMR,0.046144377,-10.34713745
430,CDS1,0.050060809,3.104318857
431,ATP1B1,0.042893823,-12.31013203
432,RSAD2,0.065084599,10.60256195
433,RARRES2,0.066029765,0.704031885
434,VNN2,0.04810955,8.239160538
435,ESRG,0.054921895,10.75898933
436,TMEM176A,0.066443883,2.980264425
437,SLA,0.065517396,-0.651829481
438,CDC20,0.07222674,-11.88446999
439,TGM2,0.059628259,-14.69925213
440,RBM24,0.060466066,-5.23436451
441,IGHM,0.052074205,-9.888462067
442,RAC2,0.056071088,-1.481354833
443,HAPLN1,0.073234186,11.84358978
444,LRMP,0.052332729,-5.850586891
445,C1QC,0.060926165,9.212596893
446,DSG2,0.067730896,-0.783378482
447,COL4A5,0.055194803,-16.27248001
448,GULP1,0.055816963,-10.6841259
449,WLS,0.055094704,-13.37807465
450,PLSCR4,0.057274681,-3.943888187
451,SYK,0.061651967,11.37236023
452,MYO1B,0.048069365,-9.01014328
453,ABCC3,0.079489782,-14.39296532
454,NEBL,0.069670804,-5.229307175
455,EFNB2,0.079747714,-13.40041924
456,SFRP2,0.059734851,8.937101364
457,LTF,0.06200242,14.96743107
458,MSN,0.053384878,-12.17564487
459,KRT23,0.061393332,13.66206551
460,IL18,0.057966467,5.482066154
461,ROBO1,0.04697565,-12.66923714
462,CFD,0.046121344,-13.31661034
463,GPNMB,0.052057516,11.98862934
464,PLA2G4A,0.058629286,-1.245877028
465,SLPI,0.063742869,-16.95969772
466,IGK@ /// IGKC,0.053993039,15.91724491
467,LPAR1,0.050197072,-9.885241508
468,EFNA1,0.044008821,-12.99258423
469,PTGIS,0.067471571,-3.5582304
470,PPL,0.063515045,-5.931143761
471,GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE2A /// GAGE2C /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7,0.050758898,8.960594177
472,PLAU,0.041584432,-16.67567444
473,ME1,0.073625006,-9.416026115
474,FABP5,0.050799411,-15.56013489
475,PSMB8,0.045952834,-10.51618099
476,IGK@ /// IGKC /// IGKV1-5,0.051117294,-2.553530455
477,IL1R2,0.079514436,5.759525299
478,GPR109B,0.07515841,16.09880638
479,GBP1,0.057539832,-11.61309719
480,C5AR1,0.052443497,7.51625824
481,MXRA5,0.071614057,-5.690900803
482,DSEL,0.065800413,-4.686357498
483,KCNJ15,0.050313421,8.669168472
484,MAGEA2 /// MAGEA2B,0.058016758,15.90918064
485,PPP1R14A,0.053486194,13.78536987
486,SYNPO2,0.064319529,9.749605179
487,FAM84A,0.083850078,7.270694733
488,PPP1R16B,0.050467487,-8.778482437
489,SFN,0.083569787,6.886318207
490,PALMD,0.055902828,12.62429619
491,SLC22A3,0.050837144,12.41203022
492,AMOTL2,0.045130096,-12.01942253
493,MALAT1,0.060706828,-14.40745735
494,LHFP,0.05548536,-7.996933937
495,EGR3,0.052117258,-8.643452644
496,LXN,0.079684049,-11.06183434
497,ASS1,0.048155945,-14.13973045
498,IL6,0.056291182,-3.748151302
499,ADH1B,0.052089695,15.77848244
500,TBX3,0.056404438,8.727641106
501,C3orf14,0.06936767,-9.771541595
502,MRC1 /// MRC1L1,0.093868718,11.24358559
503,GPR65,0.06355755,15.91181183
504,SDC2,0.061240189,-13.56418228
505,TGFB1I1,0.052093443,-8.198863029
506,GREB1,0.041871898,4.473524094
507,F13A1,0.045086477,2.292111158
508,ADAM12,0.065652974,4.93340683
509,SGMS2,0.07313823,-11.2100811
510,DLK1,0.069684222,3.844600677
511,CHL1,0.065593086,13.04893112
512,TF,0.047639735,15.26343918
513,CYBA,0.068138652,-11.06787395
514,GLIS3,0.058632541,14.26986313
515,KIF20A,0.05616245,-9.297535896
516,EPHA3,0.050903928,9.349088669
517,TMSB15A,0.040491648,-14.90881824
518,TDO2,0.062326975,11.36178207
519,NES,0.05719658,-12.17714787
520,PHLDA1,0.057565615,-12.08230209
521,INHBE,0.074708924,13.31524467
522,LAMP3,0.053438138,12.56502819
523,HNF1B,0.042639952,-20.58531761
524,STMN2,0.107829221,8.187949181
525,AGPAT9,0.061564747,-10.4596014
526,SLC6A15,0.060984559,12.64683723
527,GPX2,0.058732115,-1.314366341
528,PCOLCE,0.061854269,-8.555141449
529,RGS18,0.051343344,13.16143322
530,DLC1,0.040637076,-11.52523518
531,FAP,0.052854504,-4.403744698
532,GAGE12F /// GAGE12G /// GAGE12I /// GAGE5 /// GAGE7,0.084595218,10.88290596
533,SATB1,0.04438312,-11.70630455
534,PTPLAD2,0.055122804,-6.037541866
535,FAM84B,0.038464963,-13.89072704
536,FERMT2,0.052228827,-10.87867069
537,SLC16A4,0.050598565,9.59620285
538,HGF,0.052532207,12.22319412
539,ADM,0.052705314,-17.09202385
540,SHISA2,0.08070571,11.70361137
541,CMBL,0.061985519,-17.67152214
542,RBP4,0.063213609,7.411685944
543,CEP55,0.047293417,-9.394506454
544,USP9Y,0.054135807,12.66573811
545,WT1,0.054265603,6.942621231
546,BMP2,0.073467195,10.81945324
547,LSP1,0.04838625,1.092262149
548,SDC1,0.05464435,-10.36076736
549,PEG3,0.057361852,14.18716812
550,CCR7,0.056098685,11.14621544
551,CST7,0.056025669,10.68623734
552,MALL,0.069901913,-8.109146118
553,HOXC6,0.061285701,-16.881464
554,ARHGAP8 /// PRR5-ARHGAP8,0.052359655,12.71355534
555,PPP1R3C,0.048393063,-11.98928928
556,KRT6A /// KRT6B /// KRT6C,0.058053624,13.01208687
557,OLFM4,0.061441042,13.35673046
558,AZGP1,0.063427143,13.5803709
559,ALOX5AP,0.066058137,-8.062488556
560,CLDN3,0.058118992,11.15126228
561,AKR1C1 /// AKR1C2,0.051079948,13.29165077
562,CLEC2B,0.057703633,15.14529991
563,APCDD1,0.054249145,5.980220795
564,PRKCDBP,0.049053058,-12.44100571
565,DLX2,0.048851211,8.316268921
566,CFP,0.052452452,16.75643539
567,STEAP1,0.046368148,-14.47762871
568,NPY1R,0.05289619,11.53569412
569,THBD,0.066035569,-7.662024498
570,DPP4,0.114962086,2.05198288
571,RASSF6,0.059274487,12.57104683
572,ARHGAP9,0.045208424,-13.69895935
573,CCNB1,0.052466143,-12.88267899
574,TRBC1,0.086616717,-4.319773674
575,CDA,0.057170704,13.27449989
576,TSPAN12,0.066929005,0.345395148
577,CES1,0.059531912,13.29207516
578,BHLHE41,0.058201753,-7.218163967
