index,gene_names,weighted_max,weighted_sum,abs_sum
17,GJA1,0.205624729,-0.989296913,0.989296913
5267,RCN3,0.058184572,0.99488008,0.99488008
96,IGLC7 /// IGLV1-44,0.110145956,1.000708252,1.000708252
1026,QPRT,0.175437957,1.00849247,1.00849247
454,NEBL,0.171239942,-1.014827728,1.014827728
1136,MARCKS,0.191801421,1.017051697,1.017051697
1153,SYNE1,0.178463407,1.026044369,1.026044369
2465,GNB4,0.1510005,-1.032776892,1.032776892
3045,TNFSF11,0.093116008,1.033139229,1.033139229
578,BHLHE41,0.092409179,-1.040778637,1.040778637
3968,ZNF404,0.285789132,-1.042077303,1.042077303
4418,SLC22A15,0.16601871,1.046583176,1.046583176
1659,MYBL2,0.198138282,-1.046954155,1.046954155
2864,KCNK2,0.123821244,1.053507328,1.053507328
2318,CD40,0.277910978,1.054501772,1.054501772
742,GHR,0.079845108,-1.056520939,1.056520939
4844,C9orf125,0.148605049,-1.058899999,1.058899999
5016,SHB,0.009689815,1.05989337,1.05989337
922,ALDH5A1,0.132298768,-1.067563772,1.067563772
37,ANK3,0.379675493,1.073492169,1.073492169
2003,CDCA2,0.02405905,1.07703352,1.07703352
1679,HSPA6,0.171887323,-1.08157897,1.08157897
3857,KLKB1,0.233002238,1.086487293,1.086487293
1803,ZNF677,0.100780025,-1.089994431,1.089994431
494,LHFP,0.120288573,1.094439983,1.094439983
252,PPAP2B,0.142056987,1.102279633,1.102279633
765,AMICA1,0.110098168,-1.103863239,1.103863239
5693,MYCL1,0.072016582,-1.104461908,1.104461908
5337,LILRA4,0.126987129,1.104575157,1.104575157
1195,NCF4,0.128413536,-1.109831691,1.109831691
2058,KCNS3,0.072225228,1.117584467,1.117584467
652,SCG5,0.141227238,-1.121188074,1.121188074
4827,SHISA9,0.046444349,1.125388384,1.125388384
3172,FUCA2,0.141051114,-1.128696442,1.128696442
1208,RAB3B,0.060743146,1.129841566,1.129841566
1248,CAP2,0.063602366,-1.13021636,1.13021636
1680,NAP1L5,0.14813152,-1.132436574,1.132436574
1349,DSC2,0.127361424,-1.138537407,1.138537407
2529,CCRL1,0.089608632,-1.141715765,1.141715765
3938,LRRN4CL,0.115985572,1.144928932,1.144928932
3376,CMTM8,0.061807089,1.147677898,1.147677898
711,LOC730755,0.15471448,-1.157162189,1.157162189
2288,CTSL2,-0.0007926,1.157643318,1.157643318
633,FBLN1,0.15513166,1.15849328,1.15849328
4227,BNC2,0.161351413,-1.166059732,1.166059732
2245,LOC100507263,0.303090721,1.16729641,1.16729641
3323,ANKRD20A1 /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4 /// ANKRD20B /// LOC375010,0.044274747,1.169861317,1.169861317
2132,CNTNAP3,0.050561301,1.178283215,1.178283215
481,MXRA5,0.157447189,1.178907156,1.178907156
270,CPVL,0.110272184,-1.183788776,1.183788776
5850,ZNF493 /// ZNF738,0.117620856,-1.184383392,1.184383392
3527,PPAP2A,0.098237894,-1.189033508,1.189033508
4129,HYMAI,0.114513002,1.191092014,1.191092014
3473,SEMA3C,0.196471348,-1.192328811,1.192328811
5788,VARS,0.236701354,-1.198287964,1.198287964
2722,GPRC5C,-0.009629227,-1.203040123,1.203040123
1185,CCR2,0.148167916,-1.219224453,1.219224453
4137,IL4R,0.153081924,-1.22433567,1.22433567
5496,BDKRB1,0.16159977,-1.226224899,1.226224899
2217,CGN,0.235469855,-1.22688961,1.22688961
4565,BEST1,0.160986178,-1.228793144,1.228793144
2412,EFEMP2,0.179617092,1.231536865,1.231536865
4638,KCNA5,0.093886584,1.235115051,1.235115051
3297,SSX1,0.180628404,1.239638567,1.239638567
3507,MTAP,0.127081566,1.249182701,1.249182701
3679,KRT2,0.118609898,-1.250463963,1.250463963
5595,INSC,0.127311096,-1.261609077,1.261609077
764,CDKN2A,0.099535987,-1.262603998,1.262603998
3288,PIPOX,0.125876464,-1.265632749,1.265632749
5254,WFS1,0.144130349,-1.27033639,1.27033639
158,ENPP2,0.084242247,1.282769203,1.282769203
