"Approved.Symbol","Ensembl.ID.supplied.by.Ensembl.","index"
"ERCC8","ENSG00000049167",654
"ADAMTS6","ENSG00000049192",655
"H6PD","ENSG00000049239",656
"VAMP3","ENSG00000049245",657
"PER3","ENSG00000049246",658
"UTS2","ENSG00000049247",659
"TNFRSF9","ENSG00000049249",660
"EPN3","ENSG00000049283",661
"LTBP1","ENSG00000049323",662
"RCN1","ENSG00000049449",663
"ELN","ENSG00000049540",664
"RFC2","ENSG00000049541",665
"ARID1B","ENSG00000049618",666
"CLPTM1L","ENSG00000049656",667
"NEDD4L","ENSG00000049759",668
"FOXP3","ENSG00000049768",669
"PPP1R3F","ENSG00000049769",670
"HEXB","ENSG00000049860",671
"PTCD2","ENSG00000049883",672
"NEXMIF","ENSG00000050030",673
"JKAMP","ENSG00000050130",674
"DKK3","ENSG00000050165",675
"ARHGEF5","ENSG00000050327",676
"NFE2L3","ENSG00000050344",677
"MCUR1","ENSG00000050393",678
"LIMA1","ENSG00000050405",679
"LETMD1","ENSG00000050426",680
"SLC4A8","ENSG00000050438",681
"LAMC3","ENSG00000050555",682
"PTGER3","ENSG00000050628",683
"TNIP3","ENSG00000050730",684
"MAPK9","ENSG00000050748",685
"COL23A1","ENSG00000050767",686
"BCAR1","ENSG00000050820",687
"FAM160A2","ENSG00000051009",688
"HERPUD1","ENSG00000051108",689
"HOMER3","ENSG00000051128",690
"RAD51","ENSG00000051180",691
"POLQ","ENSG00000051341",692
"PIK3CB","ENSG00000051382",693
"CYBA","ENSG00000051523",694
"THOC3","ENSG00000051596",695
"HEBP2","ENSG00000051620",696
"MPHOSPH9","ENSG00000051825",697
"PLEKHA5","ENSG00000052126",698
"PRSS8","ENSG00000052344",699
"SIKE1","ENSG00000052723",700
"RRP12","ENSG00000052749",701
"FNIP2","ENSG00000052795",702
"MSMO1","ENSG00000052802",703
"TTC17","ENSG00000052841",704
"ALX4","ENSG00000052850",705
"FSTL4","ENSG00000053108",706
"FOXN3","ENSG00000053254",707
"METTL24","ENSG00000053328",708
"AKR7A2","ENSG00000053371",709
"MRTO4","ENSG00000053372",710
"NNAT","ENSG00000053438",711
"USE1","ENSG00000053501",712
"MCF2L2","ENSG00000053524",713
"NRIP2","ENSG00000053702",714
"LAMA3","ENSG00000053747",715
"AP5M1","ENSG00000053770",716
"ANAPC4","ENSG00000053900",717
"KCNQ1","ENSG00000053918",718
"TRAPPC3","ENSG00000054116",719
